?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000024669_CNSOverLiver>	"Cd5"
<http://example.org/onto/individual/ENSMUSG00000047789_CNSOverLiver>	"Slc38a9"
<http://example.org/onto/individual/ENSMUSG00000074497_CNSOverLiver>	"A430078G23Rik"
<http://example.org/onto/individual/ENSMUSG00000022240_CNSOverLiver>	"Ctnnd2"
<http://example.org/onto/individual/ENSMUSG00000096326_CNSOverLiver>	"Ighv1-78"
<http://example.org/onto/individual/ENSMUSG00000063652_CNSOverLiver>	"Slc22a21"
<http://example.org/onto/individual/ENSMUSG00000024180_CNSOverLiver>	"Tmem8"
<http://example.org/onto/individual/ENSMUSG00000038893_CNSOverLiver>	"Fam117a"
<http://example.org/onto/individual/ENSMUSG00000030427_CNSOverLiver>	"Lilra6"
<http://example.org/onto/individual/ENSMUSG00000038543_CNSOverLiver>	"BC028528"
<http://example.org/onto/individual/ENSMUSG00000032033_CNSOverLiver>	"Barx2"
<http://example.org/onto/individual/ENSMUSG00000036918_CNSOverLiver>	"Ttc7"
<http://example.org/onto/individual/ENSMUSG00000011256_CNSOverLiver>	"Adam19"
<http://example.org/onto/individual/ENSMUSG00000029718_CNSOverLiver>	"Pcolce"
<http://example.org/onto/individual/ENSMUSG00000044551_CNSOverLiver>	"9930012K11Rik"
<http://example.org/onto/individual/ENSMUSG00000054568_CNSOverLiver>	"Usp17la"
<http://example.org/onto/individual/ENSMUSG00000062960_CNSOverLiver>	"Kdr"
<http://example.org/onto/individual/ENSMUSG00000022146_CNSOverLiver>	"Osmr"
<http://example.org/onto/individual/ENSMUSG00000023066_CNSOverLiver>	"Rttn"
<http://example.org/onto/individual/ENSMUSG00000031097_CNSOverLiver>	"Tnni2"
<http://example.org/onto/individual/ENSMUSG00000024665_CNSOverLiver>	"Fads2"
<http://example.org/onto/individual/ENSMUSG00000091337_CNSOverLiver>	"Eid1"
<http://example.org/onto/individual/ENSMUSG00000033209_CNSOverLiver>	"Ttc28"
<http://example.org/onto/individual/ENSMUSG00000001763_CNSOverLiver>	"Tspan33"
<http://example.org/onto/individual/ENSMUSG00000016526_CNSOverLiver>	"Dyrk3"
<http://example.org/onto/individual/ENSMUSG00000031072_CNSOverLiver>	"Oraov1"
<http://example.org/onto/individual/ENSMUSG00000004864_CNSOverLiver>	"Mapk13"
<http://example.org/onto/individual/ENSMUSG00000041797_CNSOverLiver>	"Abca9"
<http://example.org/onto/individual/ENSMUSG00000041658_CNSOverLiver>	"Rragb"
<http://example.org/onto/individual/ENSMUSG00000026504_CNSOverLiver>	"Sdccag8"
<http://example.org/onto/individual/ENSMUSG00000047712_CNSOverLiver>	"Ust"
<http://example.org/onto/individual/ENSMUSG00000033059_CNSOverLiver>	"Pygb"
<http://example.org/onto/individual/ENSMUSG00000026773_CNSOverLiver>	"Pfkfb3"
<http://example.org/onto/individual/ENSMUSG00000025494_CNSOverLiver>	"Sigirr"
<http://example.org/onto/individual/ENSMUSG00000029413_CNSOverLiver>	"Naaa"
<http://example.org/onto/individual/ENSMUSG00000029096_CNSOverLiver>	"Htra3"
<http://example.org/onto/individual/ENSMUSG00000015755_CNSOverLiver>	"Tab2"
<http://example.org/onto/individual/ENSMUSG00000073795_CNSOverLiver>	"6430531B16Rik"
<http://example.org/onto/individual/ENSMUSG00000052688_CNSOverLiver>	"5430435G22Rik"
<http://example.org/onto/individual/ENSMUSG00000024526_CNSOverLiver>	"Cidea"
<http://example.org/onto/individual/ENSMUSG00000078783_CNSOverLiver>	"Gm9733"
<http://example.org/onto/individual/ENSMUSG00000021127_CNSOverLiver>	"Zfp36l1"
<http://example.org/onto/individual/ENSMUSG00000038421_CNSOverLiver>	"Fcrla"
<http://example.org/onto/individual/ENSMUSG00000029075_CNSOverLiver>	"Tnfrsf4"
<http://example.org/onto/individual/ENSMUSG00000079363_CNSOverLiver>	"Gbp4"
<http://example.org/onto/individual/ENSMUSG00000022096_CNSOverLiver>	"Hr"
<http://example.org/onto/individual/ENSMUSG00000022508_CNSOverLiver>	"Bcl6"
<http://example.org/onto/individual/ENSMUSG00000043017_CNSOverLiver>	"Ptgir"
<http://example.org/onto/individual/ENSMUSG00000044749_CNSOverLiver>	"Abca6"
<http://example.org/onto/individual/ENSMUSG00000035314_CNSOverLiver>	"Gdpd5"
<http://example.org/onto/individual/ENSMUSG00000034675_CNSOverLiver>	"Dbn1"
<http://example.org/onto/individual/ENSMUSG00000027552_CNSOverLiver>	"E2f5"
<http://example.org/onto/individual/ENSMUSG00000072437_CNSOverLiver>	"Nanos1"
<http://example.org/onto/individual/ENSMUSG00000003534_CNSOverLiver>	"Ddr1"
<http://example.org/onto/individual/ENSMUSG00000076522_CNSOverLiver>	"Igkv16-104"
<http://example.org/onto/individual/ENSMUSG00000055675_CNSOverLiver>	"Kbtbd11"
<http://example.org/onto/individual/ENSMUSG00000032336_CNSOverLiver>	"Nptn"
<http://example.org/onto/individual/ENSMUSG00000013846_CNSOverLiver>	"St3gal1"
<http://example.org/onto/individual/ENSMUSG00000037979_CNSOverLiver>	"Ccdc92"
<http://example.org/onto/individual/ENSMUSG00000001020_CNSOverLiver>	"S100a4"
<http://example.org/onto/individual/ENSMUSG00000063172_CNSOverLiver>	"Hspb11"
<http://example.org/onto/individual/ENSMUSG00000024589_CNSOverLiver>	"Nedd4l"
<http://example.org/onto/individual/ENSMUSG00000074570_CNSOverLiver>	"Cass4"
<http://example.org/onto/individual/ENSMUSG00000074448_CNSOverLiver>	"Gm5615"
<http://example.org/onto/individual/ENSMUSG00000003379_CNSOverLiver>	"Cd79a"
<http://example.org/onto/individual/ENSMUSG00000028484_CNSOverLiver>	"Psip1"
<http://example.org/onto/individual/ENSMUSG00000051969_CNSOverLiver>	"Tlr11"
<http://example.org/onto/individual/ENSMUSG00000050377_CNSOverLiver>	"Il31ra"
<http://example.org/onto/individual/ENSMUSG00000040659_CNSOverLiver>	"Efhd2"
<http://example.org/onto/individual/ENSMUSG00000028099_CNSOverLiver>	"Polr3c"
<http://example.org/onto/individual/ENSMUSG00000000579_CNSOverLiver>	"Dynlt1c"
<http://example.org/onto/individual/ENSMUSG00000029148_CNSOverLiver>	"Nrbp1"
<http://example.org/onto/individual/ENSMUSG00000020178_CNSOverLiver>	"Adora2a"
<http://example.org/onto/individual/ENSMUSG00000024670_CNSOverLiver>	"Cd6"
<http://example.org/onto/individual/ENSMUSG00000068551_CNSOverLiver>	"Zfp467"
<http://example.org/onto/individual/ENSMUSG00000072763_CNSOverLiver>	"5430403G16Rik"
<http://example.org/onto/individual/ENSMUSG00000021559_CNSOverLiver>	"Dapk1"
<http://example.org/onto/individual/ENSMUSG00000031506_CNSOverLiver>	"Ptpn7"
<http://example.org/onto/individual/ENSMUSG00000024210_CNSOverLiver>	"Ip6k3"
<http://example.org/onto/individual/ENSMUSG00000020656_CNSOverLiver>	"Grhl1"
<http://example.org/onto/individual/ENSMUSG00000019189_CNSOverLiver>	"Rnf145"
<http://example.org/onto/individual/ENSMUSG00000013089_CNSOverLiver>	"Etv5"
<http://example.org/onto/individual/ENSMUSG00000023367_CNSOverLiver>	"Tmem176a"
<http://example.org/onto/individual/ENSMUSG00000040592_CNSOverLiver>	"Cd79b"
<http://example.org/onto/individual/ENSMUSG00000053101_CNSOverLiver>	"Gpr141"
<http://example.org/onto/individual/ENSMUSG00000054951_CNSOverLiver>	"9130008F23Rik"
<http://example.org/onto/individual/ENSMUSG00000001034_CNSOverLiver>	"Mapk7"
<http://example.org/onto/individual/ENSMUSG00000018238_CNSOverLiver>	"Gdf9"
<http://example.org/onto/individual/ENSMUSG00000026814_CNSOverLiver>	"Eng"
<http://example.org/onto/individual/ENSMUSG00000095630_CNSOverLiver>	"Igkv6-23"
<http://example.org/onto/individual/ENSMUSG00000041642_CNSOverLiver>	"Kif21b"
<http://example.org/onto/individual/ENSMUSG00000022450_CNSOverLiver>	"Ndufa6"
<http://example.org/onto/individual/ENSMUSG00000047415_CNSOverLiver>	"Gpr68"
<http://example.org/onto/individual/ENSMUSG00000028435_CNSOverLiver>	"Aqp3"
<http://example.org/onto/individual/ENSMUSG00000004633_CNSOverLiver>	"Chn2"
<http://example.org/onto/individual/ENSMUSG00000061288_CNSOverLiver>	"Taok3"
<http://example.org/onto/individual/ENSMUSG00000019841_CNSOverLiver>	"Rev3l"
<http://example.org/onto/individual/ENSMUSG00000050373_CNSOverLiver>	"Snx21"
<http://example.org/onto/individual/ENSMUSG00000047867_CNSOverLiver>	"Gimap6"
<http://example.org/onto/individual/ENSMUSG00000032299_CNSOverLiver>	"Commd4"
<http://example.org/onto/individual/ENSMUSG00000050394_CNSOverLiver>	"Armcx6"
<http://example.org/onto/individual/ENSMUSG00000005947_CNSOverLiver>	"Itgae"
<http://example.org/onto/individual/ENSMUSG00000028838_CNSOverLiver>	"Extl1"
<http://example.org/onto/individual/ENSMUSG00000019842_CNSOverLiver>	"Traf3ip2"
<http://example.org/onto/individual/ENSMUSG00000056899_CNSOverLiver>	"Immp2l"
<http://example.org/onto/individual/ENSMUSG00000033446_CNSOverLiver>	"Lpar6"
<http://example.org/onto/individual/ENSMUSG00000009376_CNSOverLiver>	"Met"
<http://example.org/onto/individual/ENSMUSG00000035165_CNSOverLiver>	"Kcne3"
<http://example.org/onto/individual/ENSMUSG00000072849_CNSOverLiver>	"Serpina1e"
<http://example.org/onto/individual/ENSMUSG00000040183_CNSOverLiver>	"Ankrd6"
<http://example.org/onto/individual/ENSMUSG00000067925_CNSOverLiver>	"Cxx1a"
<http://example.org/onto/individual/ENSMUSG00000037977_CNSOverLiver>	"6430571L13Rik"
<http://example.org/onto/individual/ENSMUSG00000049657_CNSOverLiver>	"Zbtb5"
<http://example.org/onto/individual/ENSMUSG00000062939_CNSOverLiver>	"Stat4"
<http://example.org/onto/individual/ENSMUSG00000025504_CNSOverLiver>	"Eps8l2"
<http://example.org/onto/individual/ENSMUSG00000042834_CNSOverLiver>	"Nrep"
<http://example.org/onto/individual/ENSMUSG00000049858_CNSOverLiver>	"Suox"
<http://example.org/onto/individual/ENSMUSG00000040605_CNSOverLiver>	"Bace2"
<http://example.org/onto/individual/ENSMUSG00000029650_CNSOverLiver>	"Slc46a3"
<http://example.org/onto/individual/ENSMUSG00000026979_CNSOverLiver>	"Psd4"
<http://example.org/onto/individual/ENSMUSG00000024168_CNSOverLiver>	"Tmem204"
<http://example.org/onto/individual/ENSMUSG00000044156_CNSOverLiver>	"Hepacam2"
<http://example.org/onto/individual/ENSMUSG00000074491_CNSOverLiver>	"Clec4g"
<http://example.org/onto/individual/ENSMUSG00000050379_CNSOverLiver>	"Sep-06"
<http://example.org/onto/individual/ENSMUSG00000025813_CNSOverLiver>	"Homer2"
<http://example.org/onto/individual/ENSMUSG00000001025_CNSOverLiver>	"S100a6"
<http://example.org/onto/individual/ENSMUSG00000032012_CNSOverLiver>	"Pvrl1"
<http://example.org/onto/individual/ENSMUSG00000050195_CNSOverLiver>	"Scd4"
<http://example.org/onto/individual/ENSMUSG00000033287_CNSOverLiver>	"Kctd17"
<http://example.org/onto/individual/ENSMUSG00000040717_CNSOverLiver>	"Il17rd"
<http://example.org/onto/individual/ENSMUSG00000024798_CNSOverLiver>	"Htr7"
<http://example.org/onto/individual/ENSMUSG00000074505_CNSOverLiver>	"Fat3"
<http://example.org/onto/individual/ENSMUSG00000052013_CNSOverLiver>	"Btla"
<http://example.org/onto/individual/ENSMUSG00000058706_CNSOverLiver>	"0610030E20Rik"
<http://example.org/onto/individual/ENSMUSG00000058396_CNSOverLiver>	"Gpr182"
<http://example.org/onto/individual/ENSMUSG00000020589_CNSOverLiver>	"Fam49a"
<http://example.org/onto/individual/ENSMUSG00000032009_CNSOverLiver>	"Sesn3"
<http://example.org/onto/individual/ENSMUSG00000021903_CNSOverLiver>	"Galnt15"
<http://example.org/onto/individual/ENSMUSG00000026018_CNSOverLiver>	"Ica1l"
<http://example.org/onto/individual/ENSMUSG00000035000_CNSOverLiver>	"Dpp4"
<http://example.org/onto/individual/ENSMUSG00000075269_CNSOverLiver>	"Bex6"
<http://example.org/onto/individual/ENSMUSG00000041189_CNSOverLiver>	"Chrnb1"
<http://example.org/onto/individual/ENSMUSG00000092137_CNSOverLiver>	"Gcom1"
<http://example.org/onto/individual/ENSMUSG00000049532_CNSOverLiver>	"Sall2"
<http://example.org/onto/individual/ENSMUSG00000044317_CNSOverLiver>	"Gpr4"
<http://example.org/onto/individual/ENSMUSG00000078816_CNSOverLiver>	"Prkcg"
<http://example.org/onto/individual/ENSMUSG00000028047_CNSOverLiver>	"Thbs3"
<http://example.org/onto/individual/ENSMUSG00000036432_CNSOverLiver>	"Siah2"
<http://example.org/onto/individual/ENSMUSG00000079083_CNSOverLiver>	"Jrkl"
<http://example.org/onto/individual/ENSMUSG00000030041_CNSOverLiver>	"M1ap"
<http://example.org/onto/individual/ENSMUSG00000014030_CNSOverLiver>	"Pax5"
<http://example.org/onto/individual/ENSMUSG00000067219_CNSOverLiver>	"Nipal1"
<http://example.org/onto/individual/ENSMUSG00000029410_CNSOverLiver>	"Ppef2"
<http://example.org/onto/individual/ENSMUSG00000037185_CNSOverLiver>	"Krt80"
<http://example.org/onto/individual/ENSMUSG00000021676_CNSOverLiver>	"Iqgap2"
<http://example.org/onto/individual/ENSMUSG00000047462_CNSOverLiver>	"A530099J19Rik"
<http://example.org/onto/individual/ENSMUSG00000021143_CNSOverLiver>	"Pacs2"
<http://example.org/onto/individual/ENSMUSG00000028101_CNSOverLiver>	"Pias3"
<http://example.org/onto/individual/ENSMUSG00000043067_CNSOverLiver>	"Dpy19l1"
<http://example.org/onto/individual/ENSMUSG00000031293_CNSOverLiver>	"Rs1"
<http://example.org/onto/individual/ENSMUSG00000045176_CNSOverLiver>	"2310047M10Rik"
<http://example.org/onto/individual/ENSMUSG00000000861_CNSOverLiver>	"Bcl11a"
<http://example.org/onto/individual/ENSMUSG00000028629_CNSOverLiver>	"Exo5"
<http://example.org/onto/individual/ENSMUSG00000015852_CNSOverLiver>	"Fcrls"
<http://example.org/onto/individual/ENSMUSG00000038692_CNSOverLiver>	"Hoxb4"
<http://example.org/onto/individual/ENSMUSG00000032198_CNSOverLiver>	"Dock6"
<http://example.org/onto/individual/ENSMUSG00000025279_CNSOverLiver>	"Dnase1l3"
<http://example.org/onto/individual/ENSMUSG00000095677_CNSOverLiver>	"Dynlt1f"
<http://example.org/onto/individual/ENSMUSG00000070868_CNSOverLiver>	"Skint3"
<http://example.org/onto/individual/ENSMUSG00000075602_CNSOverLiver>	"Ly6a"
<http://example.org/onto/individual/ENSMUSG00000029368_CNSOverLiver>	"Alb"
<http://example.org/onto/individual/ENSMUSG00000064080_CNSOverLiver>	"Fbln2"
<http://example.org/onto/individual/ENSMUSG00000046080_CNSOverLiver>	"Clec9a"
<http://example.org/onto/individual/ENSMUSG00000024501_CNSOverLiver>	"Dpysl3"
<http://example.org/onto/individual/ENSMUSG00000001053_CNSOverLiver>	"N4bp3"
<http://example.org/onto/individual/ENSMUSG00000008318_CNSOverLiver>	"Relt"
<http://example.org/onto/individual/ENSMUSG00000039062_CNSOverLiver>	"Anpep"
<http://example.org/onto/individual/ENSMUSG00000030108_CNSOverLiver>	"Slc6a13"
<http://example.org/onto/individual/ENSMUSG00000040964_CNSOverLiver>	"Arhgef10l"
<http://example.org/onto/individual/ENSMUSG00000022583_CNSOverLiver>	"Ly6f"
<http://example.org/onto/individual/ENSMUSG00000033170_CNSOverLiver>	"Card10"
<http://example.org/onto/individual/ENSMUSG00000028944_CNSOverLiver>	"Prkag2"
<http://example.org/onto/individual/ENSMUSG00000000753_CNSOverLiver>	"Serpinf1"
<http://example.org/onto/individual/ENSMUSG00000035513_CNSOverLiver>	"Ntng2"
<http://example.org/onto/individual/ENSMUSG00000053617_CNSOverLiver>	"Sh3pxd2a"
<http://example.org/onto/individual/ENSMUSG00000030413_CNSOverLiver>	"Pglyrp1"
<http://example.org/onto/individual/ENSMUSG00000043286_CNSOverLiver>	"Pnpla1"
<http://example.org/onto/individual/ENSMUSG00000036528_CNSOverLiver>	"Ppfibp2"
<http://example.org/onto/individual/ENSMUSG00000031642_CNSOverLiver>	"Sh3rf1"
<http://example.org/onto/individual/ENSMUSG00000020783_CNSOverLiver>	"1200014J11Rik"
<http://example.org/onto/individual/ENSMUSG00000009647_CNSOverLiver>	"Mcu"
<http://example.org/onto/individual/ENSMUSG00000038264_CNSOverLiver>	"Sema7a"
<http://example.org/onto/individual/ENSMUSG00000030895_CNSOverLiver>	"Hpx"
<http://example.org/onto/individual/ENSMUSG00000050382_CNSOverLiver>	"Kif7"
<http://example.org/onto/individual/ENSMUSG00000070390_CNSOverLiver>	"Nlrp1b"
<http://example.org/onto/individual/ENSMUSG00000000631_CNSOverLiver>	"Myo18a"
<http://example.org/onto/individual/ENSMUSG00000042978_CNSOverLiver>	"Sbk1"
<http://example.org/onto/individual/ENSMUSG00000048022_CNSOverLiver>	"Tmem229a"
<http://example.org/onto/individual/ENSMUSG00000028078_CNSOverLiver>	"Dclk2"
<http://example.org/onto/individual/ENSMUSG00000030263_CNSOverLiver>	"Lrmp"
<http://example.org/onto/individual/ENSMUSG00000049491_CNSOverLiver>	"Slc36a3"
<http://example.org/onto/individual/ENSMUSG00000076934_CNSOverLiver>	"Iglv1"
<http://example.org/onto/individual/ENSMUSG00000033436_CNSOverLiver>	"Armcx2"
<http://example.org/onto/individual/ENSMUSG00000078771_CNSOverLiver>	"Evi2a"
<http://example.org/onto/individual/ENSMUSG00000034903_CNSOverLiver>	"Cobll1"
<http://example.org/onto/individual/ENSMUSG00000038179_CNSOverLiver>	"Slamf7"
<http://example.org/onto/individual/ENSMUSG00000039452_CNSOverLiver>	"Snx22"
<http://example.org/onto/individual/ENSMUSG00000061947_CNSOverLiver>	"Serpina10"
<http://example.org/onto/individual/ENSMUSG00000029287_CNSOverLiver>	"Tgfbr3"
<http://example.org/onto/individual/ENSMUSG00000044340_CNSOverLiver>	"Phlpp1"
<http://example.org/onto/individual/ENSMUSG00000020407_CNSOverLiver>	"Upp1"
<http://example.org/onto/individual/ENSMUSG00000042873_CNSOverLiver>	"Lhfpl4"
<http://example.org/onto/individual/ENSMUSG00000047586_CNSOverLiver>	"Nccrp1"
<http://example.org/onto/individual/ENSMUSG00000067610_CNSOverLiver>	"Klri1"
<http://example.org/onto/individual/ENSMUSG00000037795_CNSOverLiver>	"N4bp2"
<http://example.org/onto/individual/ENSMUSG00000038188_CNSOverLiver>	"Scarf1"
<http://example.org/onto/individual/ENSMUSG00000031779_CNSOverLiver>	"Ccl22"
<http://example.org/onto/individual/ENSMUSG00000070305_CNSOverLiver>	"Mpzl3"
<http://example.org/onto/individual/ENSMUSG00000033949_CNSOverLiver>	"Trim36"
<http://example.org/onto/individual/ENSMUSG00000026883_CNSOverLiver>	"Dab2ip"
<http://example.org/onto/individual/ENSMUSG00000039470_CNSOverLiver>	"Zdhhc2"
<http://example.org/onto/individual/ENSMUSG00000015342_CNSOverLiver>	"Xk"
<http://example.org/onto/individual/ENSMUSG00000025473_CNSOverLiver>	"Adam8"
<http://example.org/onto/individual/ENSMUSG00000039167_CNSOverLiver>	"Adgrl4"
<http://example.org/onto/individual/ENSMUSG00000023043_CNSOverLiver>	"Krt18"
<http://example.org/onto/individual/ENSMUSG00000052763_CNSOverLiver>	"Zfp212"
<http://example.org/onto/individual/ENSMUSG00000040812_CNSOverLiver>	"Agbl2"
<http://example.org/onto/individual/ENSMUSG00000045930_CNSOverLiver>	"Clec14a"
<http://example.org/onto/individual/ENSMUSG00000036832_CNSOverLiver>	"Lpar3"
<http://example.org/onto/individual/ENSMUSG00000030257_CNSOverLiver>	"Srgap3"
<http://example.org/onto/individual/ENSMUSG00000049037_CNSOverLiver>	"Clec4a1"
<http://example.org/onto/individual/ENSMUSG00000005125_CNSOverLiver>	"Ndrg1"
<http://example.org/onto/individual/ENSMUSG00000002799_CNSOverLiver>	"Jag2"
<http://example.org/onto/individual/ENSMUSG00000033033_CNSOverLiver>	"Calhm2"
<http://example.org/onto/individual/ENSMUSG00000065987_CNSOverLiver>	"Cd209b"
<http://example.org/onto/individual/ENSMUSG00000034361_CNSOverLiver>	"Cpne2"
<http://example.org/onto/individual/ENSMUSG00000059412_CNSOverLiver>	"Fxyd2"
<http://example.org/onto/individual/ENSMUSG00000040857_CNSOverLiver>	"Erf"
<http://example.org/onto/individual/ENSMUSG00000021596_CNSOverLiver>	"Mctp1"
<http://example.org/onto/individual/ENSMUSG00000044162_CNSOverLiver>	"Tnip3"
<http://example.org/onto/individual/ENSMUSG00000028434_CNSOverLiver>	"Epb4.1l4b"
<http://example.org/onto/individual/ENSMUSG00000032519_CNSOverLiver>	"Slc25a38"
<http://example.org/onto/individual/ENSMUSG00000006386_CNSOverLiver>	"Tek"
<http://example.org/onto/individual/ENSMUSG00000050234_CNSOverLiver>	"Gja4"
<http://example.org/onto/individual/ENSMUSG00000034117_CNSOverLiver>	"Ptgdr2"
<http://example.org/onto/individual/ENSMUSG00000028713_CNSOverLiver>	"Cyp4b1"
<http://example.org/onto/individual/ENSMUSG00000022515_CNSOverLiver>	"Anks3"
<http://example.org/onto/individual/ENSMUSG00000015745_CNSOverLiver>	"Plekho1"
<http://example.org/onto/individual/ENSMUSG00000030600_CNSOverLiver>	"Lrfn1"
<http://example.org/onto/individual/ENSMUSG00000064272_CNSOverLiver>	"Gpbar1"
<http://example.org/onto/individual/ENSMUSG00000022504_CNSOverLiver>	"Ciita"
<http://example.org/onto/individual/ENSMUSG00000037031_CNSOverLiver>	"Tspan15"
<http://example.org/onto/individual/ENSMUSG00000037239_CNSOverLiver>	"Spred3"
<http://example.org/onto/individual/ENSMUSG00000076612_CNSOverLiver>	"Ighg2c"
<http://example.org/onto/individual/ENSMUSG00000018387_CNSOverLiver>	"Shroom1"
<http://example.org/onto/individual/ENSMUSG00000034413_CNSOverLiver>	"Neurl1b"
<http://example.org/onto/individual/ENSMUSG00000044835_CNSOverLiver>	"Ankrd45"
<http://example.org/onto/individual/ENSMUSG00000044562_CNSOverLiver>	"Rasip1"
<http://example.org/onto/individual/ENSMUSG00000000782_CNSOverLiver>	"Tcf7"
<http://example.org/onto/individual/ENSMUSG00000000673_CNSOverLiver>	"Haao"
<http://example.org/onto/individual/ENSMUSG00000028268_CNSOverLiver>	"Gbp3"
<http://example.org/onto/individual/ENSMUSG00000026014_CNSOverLiver>	"Raph1"
<http://example.org/onto/individual/ENSMUSG00000078921_CNSOverLiver>	"Tgtp2"
<http://example.org/onto/individual/ENSMUSG00000030110_CNSOverLiver>	"Ret"
<http://example.org/onto/individual/ENSMUSG00000095771_CNSOverLiver>	"Igkv14-111"
<http://example.org/onto/individual/ENSMUSG00000057219_CNSOverLiver>	"Armc7"
<http://example.org/onto/individual/ENSMUSG00000000530_CNSOverLiver>	"Acvrl1"
<http://example.org/onto/individual/ENSMUSG00000030032_CNSOverLiver>	"Wdr54"
<http://example.org/onto/individual/ENSMUSG00000072294_CNSOverLiver>	"Klf12"
<http://example.org/onto/individual/ENSMUSG00000025986_CNSOverLiver>	"Slc39a10"
<http://example.org/onto/individual/ENSMUSG00000001288_CNSOverLiver>	"Rarg"
<http://example.org/onto/individual/ENSMUSG00000036875_CNSOverLiver>	"Dna2"
<http://example.org/onto/individual/ENSMUSG00000023079_CNSOverLiver>	"Gtf2ird1"
<http://example.org/onto/individual/ENSMUSG00000027219_CNSOverLiver>	"Slc28a2"
<http://example.org/onto/individual/ENSMUSG00000024579_CNSOverLiver>	"Pcyox1l"
<http://example.org/onto/individual/ENSMUSG00000056124_CNSOverLiver>	"B4galt6"
<http://example.org/onto/individual/ENSMUSG00000027173_CNSOverLiver>	"Depdc7"
<http://example.org/onto/individual/ENSMUSG00000076441_CNSOverLiver>	"Ass1"
<http://example.org/onto/individual/ENSMUSG00000023348_CNSOverLiver>	"Trip6"
<http://example.org/onto/individual/ENSMUSG00000057337_CNSOverLiver>	"Chst3"
<http://example.org/onto/individual/ENSMUSG00000102843_CNSOverLiver>	"Serpinb10"
<http://example.org/onto/individual/ENSMUSG00000026638_CNSOverLiver>	"Irf6"
<http://example.org/onto/individual/ENSMUSG00000089774_CNSOverLiver>	"Slc5a3"
<http://example.org/onto/individual/ENSMUSG00000078521_CNSOverLiver>	"Aunip"
<http://example.org/onto/individual/ENSMUSG00000013033_CNSOverLiver>	"Adgrl1"
<http://example.org/onto/individual/ENSMUSG00000021115_CNSOverLiver>	"Vrk1"
<http://example.org/onto/individual/ENSMUSG00000092060_CNSOverLiver>	"Bend4"
<http://example.org/onto/individual/ENSMUSG00000063564_CNSOverLiver>	"Col23a1"
<http://example.org/onto/individual/ENSMUSG00000029338_CNSOverLiver>	"Antxr2"
<http://example.org/onto/individual/ENSMUSG00000094872_CNSOverLiver>	"Igkv9-120"
<http://example.org/onto/individual/ENSMUSG00000051727_CNSOverLiver>	"Kctd14"
<http://example.org/onto/individual/ENSMUSG00000004562_CNSOverLiver>	"Arhgef40"
<http://example.org/onto/individual/ENSMUSG00000036206_CNSOverLiver>	"Sh3bp4"
<http://example.org/onto/individual/ENSMUSG00000046572_CNSOverLiver>	"Zfp518b"
<http://example.org/onto/individual/ENSMUSG00000039697_CNSOverLiver>	"Ncoa7"
<http://example.org/onto/individual/ENSMUSG00000007872_CNSOverLiver>	"Id3"
<http://example.org/onto/individual/ENSMUSG00000021822_CNSOverLiver>	"Plau"
<http://example.org/onto/individual/ENSMUSG00000026121_CNSOverLiver>	"Sema4c"
<http://example.org/onto/individual/ENSMUSG00000038068_CNSOverLiver>	"Rnf144b"
<http://example.org/onto/individual/ENSMUSG00000023791_CNSOverLiver>	"Pigx"
<http://example.org/onto/individual/ENSMUSG00000015355_CNSOverLiver>	"Cd48"
<http://example.org/onto/individual/ENSMUSG00000058056_CNSOverLiver>	"Palld"
<http://example.org/onto/individual/ENSMUSG00000030067_CNSOverLiver>	"Foxp1"
<http://example.org/onto/individual/ENSMUSG00000021485_CNSOverLiver>	"Mxd3"
<http://example.org/onto/individual/ENSMUSG00000021065_CNSOverLiver>	"Fut8"
<http://example.org/onto/individual/ENSMUSG00000028552_CNSOverLiver>	"Eps15"
<http://example.org/onto/individual/ENSMUSG00000047766_CNSOverLiver>	"Lrrc49"
<http://example.org/onto/individual/ENSMUSG00000049866_CNSOverLiver>	"Arl4c"
<http://example.org/onto/individual/ENSMUSG00000038205_CNSOverLiver>	"Prkab2"
<http://example.org/onto/individual/ENSMUSG00000057948_CNSOverLiver>	"Unc13d"
<http://example.org/onto/individual/ENSMUSG00000030102_CNSOverLiver>	"Itpr1"
<http://example.org/onto/individual/ENSMUSG00000026070_CNSOverLiver>	"Il18r1"
<http://example.org/onto/individual/ENSMUSG00000028217_CNSOverLiver>	"Cdh17"
<http://example.org/onto/individual/ENSMUSG00000053063_CNSOverLiver>	"Clec12a"
<http://example.org/onto/individual/ENSMUSG00000030814_CNSOverLiver>	"Bcl7c"
<http://example.org/onto/individual/ENSMUSG00000074417_CNSOverLiver>	"Gm14548"
<http://example.org/onto/individual/ENSMUSG00000029298_CNSOverLiver>	"Gbp9"
<http://example.org/onto/individual/ENSMUSG00000033066_CNSOverLiver>	"Gas7"
<http://example.org/onto/individual/ENSMUSG00000066952_CNSOverLiver>	"Myo1h"
<http://example.org/onto/individual/ENSMUSG00000031196_CNSOverLiver>	"F8"
<http://example.org/onto/individual/ENSMUSG00000053166_CNSOverLiver>	"Cdh22"
<http://example.org/onto/individual/ENSMUSG00000000120_CNSOverLiver>	"Ngfr"
<http://example.org/onto/individual/ENSMUSG00000024174_CNSOverLiver>	"Pot1b"
<http://example.org/onto/individual/ENSMUSG00000027358_CNSOverLiver>	"Bmp2"
