?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000026065_CNSOverKidney>	"Slc9a4"
<http://example.org/onto/individual/ENSMUSG00000050967_CNSOverKidney>	"Creg2"
<http://example.org/onto/individual/ENSMUSG00000040557_CNSOverKidney>	"Wbscr27"
<http://example.org/onto/individual/ENSMUSG00000032750_CNSOverKidney>	"Gab3"
<http://example.org/onto/individual/ENSMUSG00000042302_CNSOverKidney>	"Ehbp1"
<http://example.org/onto/individual/ENSMUSG00000031383_CNSOverKidney>	"Dusp9"
<http://example.org/onto/individual/ENSMUSG00000039153_CNSOverKidney>	"Runx2"
<http://example.org/onto/individual/ENSMUSG00000028389_CNSOverKidney>	"Zfp37"
<http://example.org/onto/individual/ENSMUSG00000051373_CNSOverKidney>	"Ppapdc3"
<http://example.org/onto/individual/ENSMUSG00000022861_CNSOverKidney>	"Dgkg"
<http://example.org/onto/individual/ENSMUSG00000031958_CNSOverKidney>	"Ldhd"
<http://example.org/onto/individual/ENSMUSG00000070529_CNSOverKidney>	"Wfdc10"
<http://example.org/onto/individual/ENSMUSG00000010175_CNSOverKidney>	"Prox1"
<http://example.org/onto/individual/ENSMUSG00000034574_CNSOverKidney>	"Daam1"
<http://example.org/onto/individual/ENSMUSG00000006235_CNSOverKidney>	"Epor"
<http://example.org/onto/individual/ENSMUSG00000028771_CNSOverKidney>	"Ptpn12"
<http://example.org/onto/individual/ENSMUSG00000022822_CNSOverKidney>	"Abcc5"
<http://example.org/onto/individual/ENSMUSG00000029380_CNSOverKidney>	"Cxcl1"
<http://example.org/onto/individual/ENSMUSG00000002190_CNSOverKidney>	"Clgn"
<http://example.org/onto/individual/ENSMUSG00000025876_CNSOverKidney>	"Unc5a"
<http://example.org/onto/individual/ENSMUSG00000008540_CNSOverKidney>	"Mgst1"
<http://example.org/onto/individual/ENSMUSG00000027646_CNSOverKidney>	"Src"
<http://example.org/onto/individual/ENSMUSG00000010609_CNSOverKidney>	"Psen2"
<http://example.org/onto/individual/ENSMUSG00000020605_CNSOverKidney>	"Hs1bp3"
<http://example.org/onto/individual/ENSMUSG00000042396_CNSOverKidney>	"Rbm7"
<http://example.org/onto/individual/ENSMUSG00000022562_CNSOverKidney>	"Oplah"
<http://example.org/onto/individual/ENSMUSG00000018796_CNSOverKidney>	"Acsl1"
<http://example.org/onto/individual/ENSMUSG00000056665_CNSOverKidney>	"Them6"
<http://example.org/onto/individual/ENSMUSG00000073494_CNSOverKidney>	"Sh2d1b2"
<http://example.org/onto/individual/ENSMUSG00000073490_CNSOverKidney>	"AI607873"
<http://example.org/onto/individual/ENSMUSG00000042417_CNSOverKidney>	"Ccno"
<http://example.org/onto/individual/ENSMUSG00000072244_CNSOverKidney>	"Trim6"
<http://example.org/onto/individual/ENSMUSG00000015846_CNSOverKidney>	"Rxra"
<http://example.org/onto/individual/ENSMUSG00000019055_CNSOverKidney>	"Plod1"
<http://example.org/onto/individual/ENSMUSG00000020806_CNSOverKidney>	"Rhbdf2"
<http://example.org/onto/individual/ENSMUSG00000009621_CNSOverKidney>	"Vav2"
<http://example.org/onto/individual/ENSMUSG00000022816_CNSOverKidney>	"Fstl1"
<http://example.org/onto/individual/ENSMUSG00000032500_CNSOverKidney>	"Dclk3"
<http://example.org/onto/individual/ENSMUSG00000057722_CNSOverKidney>	"Lepr"
<http://example.org/onto/individual/ENSMUSG00000049792_CNSOverKidney>	"Bag5"
<http://example.org/onto/individual/ENSMUSG00000025068_CNSOverKidney>	"Gsto1"
