?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000028163_CNSOverKidney>	"Nfkb1"
<http://example.org/onto/individual/ENSMUSG00000043760_CNSOverKidney>	"Pkhd1"
<http://example.org/onto/individual/ENSMUSG00000003746_CNSOverKidney>	"Man1a"
<http://example.org/onto/individual/ENSMUSG00000028459_CNSOverKidney>	"Cd72"
<http://example.org/onto/individual/ENSMUSG00000029475_CNSOverKidney>	"Kdm2b"
<http://example.org/onto/individual/ENSMUSG00000024998_CNSOverKidney>	"Plce1"
<http://example.org/onto/individual/ENSMUSG00000033295_CNSOverKidney>	"Ptprf"
<http://example.org/onto/individual/ENSMUSG00000020644_CNSOverKidney>	"Id2"
<http://example.org/onto/individual/ENSMUSG00000022037_CNSOverKidney>	"Clu"
<http://example.org/onto/individual/ENSMUSG00000022434_CNSOverKidney>	"Fam118a"
<http://example.org/onto/individual/ENSMUSG00000045725_CNSOverKidney>	"Prr15"
<http://example.org/onto/individual/ENSMUSG00000044162_CNSOverKidney>	"Tnip3"
<http://example.org/onto/individual/ENSMUSG00000067158_CNSOverKidney>	"Col4a4"
<http://example.org/onto/individual/ENSMUSG00000024402_CNSOverKidney>	"Lta"
<http://example.org/onto/individual/ENSMUSG00000036053_CNSOverKidney>	"Fmnl2"
<http://example.org/onto/individual/ENSMUSG00000027068_CNSOverKidney>	"Dhrs9"
<http://example.org/onto/individual/ENSMUSG00000049687_CNSOverKidney>	"Fam109b"
<http://example.org/onto/individual/ENSMUSG00000036412_CNSOverKidney>	"Arsi"
<http://example.org/onto/individual/ENSMUSG00000090523_CNSOverKidney>	"Gypc"
<http://example.org/onto/individual/ENSMUSG00000027168_CNSOverKidney>	"Pax6"
<http://example.org/onto/individual/ENSMUSG00000038600_CNSOverKidney>	"Atp6v0a4"
<http://example.org/onto/individual/ENSMUSG00000044749_CNSOverKidney>	"Abca6"
<http://example.org/onto/individual/ENSMUSG00000071076_CNSOverKidney>	"Jund"
<http://example.org/onto/individual/ENSMUSG00000102752_CNSOverKidney>	"Gm7694"
<http://example.org/onto/individual/ENSMUSG00000022231_CNSOverKidney>	"Sema5a"
<http://example.org/onto/individual/ENSMUSG00000029710_CNSOverKidney>	"Ephb4"
<http://example.org/onto/individual/ENSMUSG00000030147_CNSOverKidney>	"Clec4b1"
<http://example.org/onto/individual/ENSMUSG00000026068_CNSOverKidney>	"Il18rap"
<http://example.org/onto/individual/ENSMUSG00000024209_CNSOverKidney>	"1700061G19Rik"
<http://example.org/onto/individual/ENSMUSG00000022010_CNSOverKidney>	"Tsc22d1"
<http://example.org/onto/individual/ENSMUSG00000030873_CNSOverKidney>	"Scnn1b"
<http://example.org/onto/individual/ENSMUSG00000074093_CNSOverKidney>	"Svip"
<http://example.org/onto/individual/ENSMUSG00000035148_CNSOverKidney>	"Gpr33"
<http://example.org/onto/individual/ENSMUSG00000063506_CNSOverKidney>	"Arhgap22"
<http://example.org/onto/individual/ENSMUSG00000026285_CNSOverKidney>	"Pdcd1"
<http://example.org/onto/individual/ENSMUSG00000050919_CNSOverKidney>	"Zfp366"
<http://example.org/onto/individual/ENSMUSG00000024673_CNSOverKidney>	"Ms4a1"
<http://example.org/onto/individual/ENSMUSG00000004864_CNSOverKidney>	"Mapk13"
<http://example.org/onto/individual/ENSMUSG00000041012_CNSOverKidney>	"Cmtm8"
<http://example.org/onto/individual/ENSMUSG00000028270_CNSOverKidney>	"Gbp2"
<http://example.org/onto/individual/ENSMUSG00000009185_CNSOverKidney>	"Ccl8"
<http://example.org/onto/individual/ENSMUSG00000029560_CNSOverKidney>	"Snx8"
<http://example.org/onto/individual/ENSMUSG00000027993_CNSOverKidney>	"Trim2"
<http://example.org/onto/individual/ENSMUSG00000015396_CNSOverKidney>	"Cd83"
<http://example.org/onto/individual/ENSMUSG00000060131_CNSOverKidney>	"Atp8b4"
<http://example.org/onto/individual/ENSMUSG00000046314_CNSOverKidney>	"Stxbp6"
<http://example.org/onto/individual/ENSMUSG00000034177_CNSOverKidney>	"Rnf43"
<http://example.org/onto/individual/ENSMUSG00000017493_CNSOverKidney>	"Igfbp4"
<http://example.org/onto/individual/ENSMUSG00000030730_CNSOverKidney>	"Atp2a1"
<http://example.org/onto/individual/ENSMUSG00000006445_CNSOverKidney>	"Epha2"
<http://example.org/onto/individual/ENSMUSG00000023277_CNSOverKidney>	"Twf2"
<http://example.org/onto/individual/ENSMUSG00000042066_CNSOverKidney>	"Tmcc2"
<http://example.org/onto/individual/ENSMUSG00000003464_CNSOverKidney>	"Pex19"
<http://example.org/onto/individual/ENSMUSG00000003379_CNSOverKidney>	"Cd79a"
<http://example.org/onto/individual/ENSMUSG00000038543_CNSOverKidney>	"BC028528"
<http://example.org/onto/individual/ENSMUSG00000034165_CNSOverKidney>	"Ccnd3"
<http://example.org/onto/individual/ENSMUSG00000050533_CNSOverKidney>	"Gm9845"
<http://example.org/onto/individual/ENSMUSG00000030774_CNSOverKidney>	"Pak1"
<http://example.org/onto/individual/ENSMUSG00000066687_CNSOverKidney>	"Zbtb16"
<http://example.org/onto/individual/ENSMUSG00000059824_CNSOverKidney>	"Dbp"
<http://example.org/onto/individual/ENSMUSG00000035184_CNSOverKidney>	"Fam124a"
<http://example.org/onto/individual/ENSMUSG00000061577_CNSOverKidney>	"Adgrg5"
<http://example.org/onto/individual/ENSMUSG00000026158_CNSOverKidney>	"Ogfrl1"
<http://example.org/onto/individual/ENSMUSG00000026437_CNSOverKidney>	"Cdk18"
